# Chrome V2
Task: 1, Test Name: Search field is displayed on tablet and desktop, DOM Id: #INPUTtext____42, Browser: chrome, Viewport: 375x500, Device: MOBILE, Status: Fail
Task: 1, Test Name: Search field is displayed on tablet and desktop, DOM Id: #INPUTtext____42, Browser: chrome, Viewport: 767x700, Device: MOBILE, Status: Fail
Task: 1, Test Name: Search field is displayed on tablet and desktop, DOM Id: #INPUTtext____42, Browser: chrome, Viewport: 768x500, Device: TABLET, Status: Pass
Task: 1, Test Name: Search field is displayed on tablet and desktop, DOM Id: #INPUTtext____42, Browser: chrome, Viewport: 991x700, Device: TABLET, Status: Pass
Task: 1, Test Name: Search field is displayed on tablet and desktop, DOM Id: #INPUTtext____42, Browser: chrome, Viewport: 992x500, Device: DESKTOP, Status: Pass
Task: 1, Test Name: Search field is displayed on tablet and desktop, DOM Id: #INPUTtext____42, Browser: chrome, Viewport: 1200x700, Device: DESKTOP, Status: Pass
Task: 1, Test Name: Wishlist icon is displayed on desktop only, DOM Id: #A__wishlist__52, Browser: chrome, Viewport: 375x500, Device: MOBILE, Status: Fail
Task: 1, Test Name: Wishlist icon is displayed on desktop only, DOM Id: #A__wishlist__52, Browser: chrome, Viewport: 767x700, Device: MOBILE, Status: Fail
Task: 1, Test Name: Wishlist icon is displayed on desktop only, DOM Id: #A__wishlist__52, Browser: chrome, Viewport: 768x500, Device: TABLET, Status: Fail
Task: 1, Test Name: Wishlist icon is displayed on desktop only, DOM Id: #A__wishlist__52, Browser: chrome, Viewport: 991x700, Device: TABLET, Status: Fail
Task: 1, Test Name: Wishlist icon is displayed on desktop only, DOM Id: #A__wishlist__52, Browser: chrome, Viewport: 992x500, Device: DESKTOP, Status: Pass
Task: 1, Test Name: Wishlist icon is displayed on desktop only, DOM Id: #A__wishlist__52, Browser: chrome, Viewport: 1200x700, Device: DESKTOP, Status: Pass
Task: 1, Test Name: Left filter column is displayed on desktop only, DOM Id: #filter_col, Browser: chrome, Viewport: 375x500, Device: MOBILE, Status: Pass
Task: 1, Test Name: Left filter column is displayed on desktop only, DOM Id: #filter_col, Browser: chrome, Viewport: 767x700, Device: MOBILE, Status: Pass
Task: 1, Test Name: Left filter column is displayed on desktop only, DOM Id: #filter_col, Browser: chrome, Viewport: 768x500, Device: TABLET, Status: Pass
Task: 1, Test Name: Left filter column is displayed on desktop only, DOM Id: #filter_col, Browser: chrome, Viewport: 991x700, Device: TABLET, Status: Pass
